taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
sp,u165,Great Knot,,,,,,
sp,164,Red Knot,,,,,,
ssp,u164a,New Siberian Islands Red Knot,,,,,,
ssp,u164b,North-eastern Siberian Red Knot,,,,,,
sp,167,Broad-billed Sandpiper,,,,,,
ssp,u167,Eastern Siberian Broad-billed Sandpiper,,,,,,
sp,u163,Sharp-tailed Sandpiper,,,,,,
sp,u161,Curlew Sandpiper,,,,,,
sp,u965,Long-toed Stint,,,,,,
sp,u162,Red-necked Stint,,,,,,
sp,166,Sanderling,,,,,,
ssp,u166,Eastern Sanderling,,,,,,
sp,u978,Pectoral Sandpiper,,,,,,
sp,u939,Asian Dowitcher,,,,,,
sp,u168,Latham's Snipe,,,,,,
sp,u852,Pintail Snipe,,,,,,
sp,u169,Swinhoe's Snipe,,,,,,
sp,u932,Red-necked Phalarope,,,,,,
sp,u160,Terek Sandpiper,,,,,,
sp,u157,Common Sandpiper,,,,,,
sp,u155,Grey-tailed Tattler,,,,,,
sp,u156,Wandering Tattler,,,,,,
sp,u158,Common Greenshank,,,,,,
sp,u154,Wood Sandpiper,,,,,,
sp,u159,Marsh Sandpiper,,,,,,
sp,13,Red-backed Button-quail,,,,,,
ssp,u13,Australian Red-backed Button-quail,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u17,Black-breasted Button-quail,,,,,,
sp,14,Painted Button-quail,,,,,,
ssp,u14b,Houtman Abrolhos Painted Button-quail,,,,,,
ssp,u14a,Australian Painted Button-quail,,,,,,
sp,u16,Buff-breasted Button-quail,,,,,,
sp,u15,Chestnut-backed Button-quail,,,,,,
sp,u19,Red-chested Button-quail,,,,,,
sp,u18,Little Button-quail,,,,,,
sp,u173,Australian Pratincole,,,,,,
sp,u172,Oriental Pratincole,,,,,,
sp,122,Brown Noddy,5b,,5b,Non-taxonomic change - common name ,,
ssp,u122,Indo-Pacific Brown Noddy,5b,,5b,Non-taxonomic change - common name ,,
sp,123,Lesser Noddy,,,,,,
ssp,u123,Houtman Abrolhos Lesser Noddy,,,,,,
sp,124,Black Noddy,,,,,,
ssp,u124,Indo-Pacific Black Noddy,,,,,,
sp,982,Grey Noddy,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u982,Tasman Grey Noddy,5a/c,,5a/c,Non-taxonomic change - scientific name  and taxon_id,,
sp,972,Common White Tern,,5a/b,,,5a/b,Non-taxonomic change - scientific and common names
